title,provider,date,frequency,type,target,major,fee,location,available_region,job_category_id,job_category_name
메타버스 기반_과학 실험 설계 탐구,융합진로진학센터,2025-08-18 ~ 2030-12-31,월화수목금,캠프형,초 중,기타,"3,500,000원",학교,전국,15,기타 서비스직
전통이 살아있는 하루! 놀이와 손작업으로 만나는 우리문화 체험,한국 놀이개발 연구소,2025-08-01 ~ 2025-12-31,월화수목금,강연형,초 중,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가","10,000원",체험처,전국,15,기타 서비스직
환경 캠프(생태전환교육)_*SDGs 17주제,융합진로진학센터,2025-08-18 ~ 2030-12-31,월화수목금토,캠프형,초 중 고,기타,"5,000,000원",학교,전국,15,기타 서비스직
심화융합과제탐구 캠프,융합진로진학센터,2025-08-18 ~ 2030-12-31,월화수목금토,캠프형,고,기타,"5,000,000원",학교,전국,15,기타 서비스직
중3전환기 프로그램(고교학점제 + 고등 학습 전략),융합진로진학센터,2025-08-18 ~ 2030-12-31,월화수목금토,캠프형,중,기타,"5,000,000원",학교,전국,15,기타 서비스직
실전 미용 실습,최문희 바버샵,2025-07-28 ~ 2027-12-31,월화수목,직업실무체험형,고,이용사,"10,000원",학교,전국,15,기타 서비스직
나만의 소품만들기,럽인유,2025-07-29 ~ 2025-12-31,월화수목금,현장직업체험형,중 고,기타 시각 및 공연 예술가,"25,000원",체험처,전국,11,예술·디자인·방송직
K-뷰티 스타일링 체험,최문희 바버샵,2025-07-28 ~ 2027-12-31,월화수목금,직업실무체험형,중,이용사,"10,000원",학교,전국,15,기타 서비스직
심리상담사 및 임상심리사 체험,주식회사별지음심리상담센터,2025-07-28 ~ 2025-12-31,월화수목금,현장견학형,초 중 고,상담심리/심리치료,"10,000원",체험처,전국,15,기타 서비스직
[학교방문형] 요리사 진로직업체험 - 캐릭터햄버거 만들기,꿈이랑키친,2025-08-01 ~ 2026-08-01,월화수목,현장직업체험형,초 중,기타 조리사,"15,000원",학교,전국,15,기타 서비스직
[체험형] 찾진&멘토링 [조향사-MBTI 향수],비단꽃내음,2025-07-01 ~ 2035-12-31,월화수목금토일,직업실무체험형,중 고,기타,"15,000원",학교,전국,15,기타 서비스직
수학아 놀자,재미난박물관,2025-08-01 ~ 2026-08-31,월화수목금,직업실무체험형,중,전산수학,"15,000원",체험처,전국,15,기타 서비스직
나비효과로 이루는 탄소중립!,파주나비나라박물관,2025-08-01 ~ 2025-11-20,화수목금토일,강연형,초 중,자연과학 연구원,무료,체험처,전국,15,기타 서비스직
메타인지 기반 학습캠프,융합진로진학센터,2025-08-18 ~ 2030-12-31,월화수목금토,캠프형,초 중 고,기타,"4,000,000원",학교,전국,15,기타 서비스직
파이썬으로 배우는 데이터 세상: 첫걸음부터 웹앱까지,coalab,2025-09-01 ~ 2025-12-26,월화수목금토,직업실무체험형,중 고,기타,"16,000원",학교,전국,15,기타 서비스직
AI로 통일을 바라보다 – 웹앱으로 남북 교류 데이터 시각화 체험,coalab,2025-08-16 ~ 2025-12-26,월화수목금토일,직업실무체험형,고,기타,"20,000원",학교,전국,15,기타 서비스직
학교로 찾아가는 AI 빅데이터과정,coalab,2025-07-28 ~ 2025-12-26,월화수목금토,직업실무체험형,고,기타,"16,000원",학교,전국,15,기타 서비스직
축구선수 및 코치에 대한 진로체험,난우주니어,2025-07-26 ~ 2026-09-05,월화수목금,현장직업체험형,중,스포츠 감독 및 코치,무료,체험처,전국,15,기타 서비스직
무궁무진 향기로운 조향의 세계,퍼퓨머일랑,2025-07-28 ~ 2035-07-31,월화수목금토일,직업실무체험형,초 중 고,기타,"25,000원",체험처,전국,15,기타 서비스직
[북아트] 나의 첫번째 다이어리,아트리움 모리,2025-07-30 ~ 2026-07-30,수목금,현장직업체험형,초 중 고,공예,"18,000원",체험처,전국,11,예술·디자인·방송직
국가유산수리(단청)기술자와 함께하는 단청체험,세종국가유산미술협회,2025-09-01 ~ 2025-12-31,월화목금토일,직업실무체험형,초 중 고,학예사 및 문화재 보존원,"10,000원",학교,전국,15,기타 서비스직
아로마푸드 자몽에 빠지다,늘푸른전당,2025-08-01 ~ 2025-12-31,월화수목금,현장직업체험형,중,주방장 및 요리 연구가,무료,체험처,전국,15,기타 서비스직
비누아트 크리에이터,늘푸른전당,2025-08-01 ~ 2025-12-31,월화수목금,현장직업체험형,중,기타 미용 서비스원,무료,체험처,전국,15,기타 서비스직
향기로운 직업 조향사,늘푸른전당,2025-07-28 ~ 2025-12-31,월화수목금토,현장직업체험형,중,기타 미용 서비스원,무료,체험처,전국,15,기타 서비스직
플로리스트 직업 체험_포토 갈란드 만들기,꽃송이가 본점,2025-07-25 ~ 2026-07-24,월화수목금토,현장직업체험형,초 중 고,화훼원예,"20,000원",체험처,전국,15,기타 서비스직
플로리스트 직업 체험_꽃목걸이 만들기,꽃송이가 본점,2025-07-25 ~ 2026-07-24,월화수목금토,현장직업체험형,초 중 고,화훼원예,"20,000원",체험처,전국,15,기타 서비스직
플로리스트 직업 체험_모스 나무 액자 만들기,꽃송이가 본점,2025-07-25 ~ 2026-07-24,월화수목금토,현장직업체험형,초 중 고,화훼원예,"20,000원",체험처,전국,15,기타 서비스직
"[일터체험] 스마트농업인, 농업과학연구원 직업체험활동",치유농장 김포농부,2025-07-25 ~ 2026-12-31,화수목금,현장직업체험형,중,채소·특용작물 재배원,"25,000원",체험처,전국,15,기타 서비스직
조각원단으로 아기 고래 참 장식 만들기(퀼트공예),이지공방,2025-07-23 ~ 2028-12-31,월화수목금토,직업실무체험형,초 중 고,제품 디자이너,"8,000원",학교,전국,15,기타 서비스직
지갑만들기(네트공예),이지공방,2025-07-23 ~ 2028-12-20,월화수목금토,직업실무체험형,초 중 고,제품 디자이너,"15,000원",학교,전국,15,기타 서비스직
“진로 FLEX! 인성 UP!” - 미래 취업 비전 수립 프로젝트!!(6H),대한교육상담협회,2025-07-01 ~ 2026-07-31,월화수목금,캠프형,고,기타,"35,000원",학교,전국,15,기타 서비스직
"법무공무원 소개, 모의법정 체험, mbti 관련 진로 찾기 등(대상 : 자유학기제 중학생, 인원 : 10명 이상, 시간: 1교시 또는 2교시, 방문 체험, 출강X)",수원청소년꿈키움센터,2025-07-01 ~ 2025-12-31,목금,학과체험형,초 중,법학일반,무료,체험처,전국,15,기타 서비스직
베이킹으로 배우는 나만의 브랜딩,카페블루하우스,2025-08-04 ~ 2035-08-31,수목금,현장직업체험형,중 고,기타 조리사,"15,000원",학교,전국,15,기타 서비스직
청소년 진로직업체험프로그램 (플로리스트-꽃다발 만들기),모두행복사회적협동조합,2025-07-23 ~ 2037-12-31,월화수목금,직업실무체험형,초 중 고,실내장식 디자이너,"20,000원",학교,전국,15,기타 서비스직
[초등학교 1-2학년 추천] 에너지 교육 자료,한국에너지정보문화재단 에너지정보관,2025-08-26 ~ 2025-12-10,월화수목금,대화형,초,에너지·환경공학 기술자 및 시험원,무료,학교,전국,15,기타 서비스직
찾아가는 가죽공예 체험학습,공방오드리,2025-07-01 ~ 2028-12-31,월화수목금,대화형,초 중 고,제품 디자이너,"50,000원",학교,전국,15,기타 서비스직
고고고캠프(꿈찾GO진로찾GO고교학점제알GO),유스드림코칭연구소,2025-08-01 ~ 2025-12-31,금,캠프형,초 중 고,기타,"50,000원",학교,전국,15,기타 서비스직
크리스마스꽃바구니,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금,현장직업체험형,초,기타,"20,000원",학교,전국,15,기타 서비스직
압화에코백,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금,현장직업체험형,고,기타,"25,000원",학교,전국,15,기타 서비스직
토피어리 만들기,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금,현장직업체험형,초,기타,"15,000원",학교,전국,15,기타 서비스직
백드롭만들기,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금,직업실무체험형,초,기타,"15,000원",학교,전국,15,기타 서비스직
생화리스,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금토,현장직업체험형,초,기타,"20,000원",학교,전국,15,기타 서비스직
생화트리만들기,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금토,현장직업체험형,초,기타,"20,000원",학교,전국,15,기타 서비스직
생화꽃바구니,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금토,직업실무체험형,초,기타,"15,000원",학교,전국,15,기타 서비스직
생화센타피스,이소플라워,2025-09-01 ~ 2025-12-31,월금,현장직업체험형,초,기타,"15,000원",학교,전국,15,기타 서비스직
나만의 핸드메이드 키링 만들기(슈링클스 키링),토비룸,2025-07-29 ~ 2025-12-31,수목금토일,직업실무체험형,초 중 고,공예,"20,000원",체험처,전국,11,예술·디자인·방송직
주주트리,주주트리,2025-08-25 ~ 2026-08-31,월화수목금,현장직업체험형,초 중 고,화훼원예,"25,000원",체험처,전국,15,기타 서비스직
주짓수 호신술을 통한 스포츠 인사이트 확대,주사사(주짓수체육관),2025-07-22 ~ 2040-07-31,화목,현장직업체험형,중,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가","10,000원",체험처,전국,15,기타 서비스직
고교학점제 캠프(선택과목+학생부로드맵),융합진로진학센터,2025-08-18 ~ 2030-12-31,월화수목금토,캠프형,고,기타,"6,500,000원",학교,전국,15,기타 서비스직
공연 제작 과정 이해(연극을 중심으로),예술나눔,2025-08-01 ~ 2025-12-20,화목토,현장직업체험형,중 고,기타 연극·영화·방송 종사원,"20,000원",체험처,전국,11,예술·디자인·방송직
직업실무직업체험형청화마을 화장품 만들기,(주)청화팜(사회적기업),2025-07-22 ~ 2026-07-21,월화수목금,직업실무체험형,초 중 고,화학공학 기술자 및 시험원,"13,000원",체험처,전국,15,기타 서비스직
찾아가는 미술관,뮤즈커브,2025-07-22 ~ 2026-02-28,월화수목금토,대화형,초,화가 및 조각가,"30,000원",학교,전국,15,기타 서비스직
다육아트,이소플라워,2025-09-01 ~ 2025-12-31,월화수목금,직업실무체험형,초,원예작물 재배원,"15,000원",학교,전국,15,기타 서비스직
허벌리스트 직업체험,힘자리힐링허브,2025-07-01 ~ 2025-12-31,월화수,현장직업체험형,초,원예작물 재배원,무료,체험처,전국,15,기타 서비스직
도란도란 고구마 추억만들기,해야팜,2025-08-04 ~ 2026-07-31,월화수목금,현장견학형,초,원예작물 재배원,"15,000원",체험처,전국,15,기타 서비스직
요리조리 나도 푸드 크리에이터,늘푸른전당,2025-07-22 ~ 2025-12-31,월화수목금,현장직업체험형,초,주방장 및 요리 연구가,무료,체험처,전국,15,기타 서비스직
나도 파티쉐,늘푸른전당,2025-07-22 ~ 2025-12-31,월화수목금,현장직업체험형,초,기타 조리사,무료,체험처,전국,15,기타 서비스직
쉐프의 밥상,늘푸른전당,2025-07-22 ~ 2025-12-31,월화목금,현장직업체험형,중,주방장 및 요리 연구가,무료,체험처,전국,15,기타 서비스직
업사이클 파우치 만들기(퀼트공예),이지공방,2025-07-29 ~ 2028-12-11,월화수목금,직업실무체험형,초 중 고,제품 디자이너,"10,000원",학교,전국,15,기타 서비스직
자개 오브제를 활용한 전통과 퓨전을 잇는 공예 체험,메리골드,2025-07-21 ~ 2035-12-31,월화수목금토일,현장직업체험형,초 중 고,기타,"25,000원",학교,전국,15,기타 서비스직
대학로 연극 관람을 통한 진로체험학습[흉터 7.4~8.17 / 701호 8.21~9.28/ 택시안에서 10.3~11.16/ 뷰티풀라이프 11.20~1.4],소명(소명아트홀),2025-01-01 ~ 2025-12-31,월화수목금토일,현장견학형,초 중 고,연극,"40,000원",체험처,전국,15,기타 서비스직
곤충 파충류 현장 학습 체험,와일드벅스,2025-07-28 ~ 2025-12-31,월화수목금,현장견학형,초,동물생태,"12,000원",체험처,전국,1,자연·생명과학 연구직
꿈을 담아 드림(林),국립산림치유원,2025-07-01 ~ 2025-12-31,월화수목금,현장견학형,초 중 고,임업 종사자,"15,000원",체험처,전국,15,기타 서비스직
"향기로 나를 만나고, 친구를 이해해요 (아로마테라피)",향담,2025-07-21 ~ 2028-07-31,월화수목금토,직업실무체험형,초,미용 서비스원,"15,000원",체험처,전국,15,기타 서비스직
향기와 마음의 온도(아로마테라피),향담,2025-07-21 ~ 2028-07-31,월화수목금토,직업실무체험형,중,미용 서비스원,"15,000원",학교,전국,15,기타 서비스직
향기 안에서 나를 만나다 (아로마테라피),향담,2025-07-21 ~ 2028-07-31,월화수목금토,직업실무체험형,고,미용 서비스원,"15,000원",학교,전국,15,기타 서비스직
"인공지능 SW 소프트웨어를 활용 한, MIT 공과대학 앱인벤터 기반 SW 스마트폰 어플리케이션 개발자/ 전문가 양성과정 프로그램 (강사2명이상 위탁 사업 및 정규과정 운영사 (주)애드인소프트 : 섭외문의)",웹에이전시 애드인소프트(애드인메이커),2025-07-17 ~ 2026-12-31,월화수목금토일,직업실무체험형,초 중 고,응용 소프트웨어 개발자,"6,000원",체험처,전국,15,기타 서비스직
흙을 이용한 나만의 실용품 만들기(도예체험),클토리공방,2025-07-18 ~ 2029-07-17,화수,직업실무체험형,초 중 고,공예원,"30,000원",체험처,전국,11,예술·디자인·방송직
